POCO,CADASTRO,ESTADO,BACIA,TERRA_MAR,TIPO,CATEGORIA,SITUACAO,INICIO,TERMINO,CONCLUSAO,LATITUDE_BASE_DD,LONGITUDE_BASE_DD,PROFUNDIDADE_VERTICAL_M,PROFUNDIDADE_SONDADOR_M,PROFUNDIDADE_MEDIDA_M,MESA_ROTATIVA,COTA_ALTIMETRICA_M,LAMINA_D_AGUA_M,DURACAO,ANO_INICIO,ANO_TERMINO
7-CAM-1308D-RN,72100024343,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2009-11-16,2009-11-24,2009-12-14,"-5,1001277777","-37,2057044444",693.0,0.0,798.0,,,0.0,8,2009,2009
7-CAM-1310D-RN,72100024347,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2009-11-18,2009-12-19,2010-01-26,"-5,1174927777","-37,2242561111",799.0,947.0,,,,0.0,31,2009,2009
7-CAM-1311-RN,72100023739,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2009-02-28,2009-03-01,2009-07-03,"-5,1552452777","-37,2497797222",755.0,755.0,755.0,,,0.0,1,2009,2009
7-CAM-1313-RN,72100024448,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2009-12-28,2009-12-30,2010-02-04,"-5,1580411111","-37,2398997222",745.0,745.0,,,,0.0,2,2009,2009
7-CAM-1314-RN,72100024028,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2009-07-15,2009-07-18,2009-08-14,"-5,1041530555","-37,14398",770.0,0.0,770.0,,,0.0,3,2009,2009
7-CAM-1315-RN,72100024003,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2009-06-29,2009-07-01,2009-07-17,"-5,0920363888","-37,143085",764.0,764.0,764.0,,,0.0,2,2009,2009
7-CAM-1317-RN,72100023974,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2009-06-18,2009-06-19,2009-09-20,"-5,0750980555","-37,1732858333",723.0,0.0,723.0,,,0.0,1,2009,2009
7-CAM-1318-RN,72100023937,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2009-05-22,2009-05-24,2009-06-25,"-5,0730138888","-37,1585538888",730.0,730.0,730.0,,,0.0,2,2009,2009
7-CAM-1319-RN,72100024021,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2009-07-08,2009-07-10,2009-07-30,"-5,1112661111","-37,15664",760.0,760.0,760.0,,,0.0,2,2009,2009
7-CAM-1320-RN,72100023981,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2009-06-21,2009-06-23,2009-07-22,"-5,1061705555","-37,1489730555",765.0,765.0,765.0,,,0.0,2,2009,2009
7-CAM-1321-RN,72100024068,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2009-07-27,2009-08-02,2009-09-08,"-5,0833527777","-37,1600991666",990.0,0.0,990.0,,,0.0,6,2009,2009
7-CAM-1322-RN,72100024084,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2009-08-04,2009-08-07,2009-09-12,"-5,0798797222","-37,1587266666",1000.0,0.0,1000.0,,,0.0,3,2009,2009
7-CAM-1323-RN,72100024122,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2009-08-19,2009-08-21,2009-09-19,"-5,0823694444","-37,1528541666",876.0,0.0,876.0,,,0.0,2,2009,2009
7-CAM-1324D-RN,72100025721,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2011-08-31,2011-09-03,2011-09-25,"-5,0933613888","-37,1891855555",-643.0,750.0,750.0,,,0.0,3,2011,2011
7-CAM-1325-RN,72100024027,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2009-07-15,2009-07-18,2009-08-12,"-5,0899291666","-37,1545869444",1007.0,0.0,1007.0,,,0.0,3,2009,2009
7-CAM-1326-RN,72100023938,RN,Potiguar,T,7,Desenvolvimento,INJETANDO,2009-06-02,2009-06-04,2009-07-11,"-5,0906652777","-37,1397569444",766.0,766.0,766.0,,,0.0,2,2009,2009
7-CAM-1327-RN,72100023968,RN,Potiguar,T,7,Desenvolvimento,INJETANDO,2009-05-25,2009-05-30,2009-06-22,"-5,07689","-37,1395102777",755.0,755.0,755.0,,,0.0,5,2009,2009
7-CAM-1328-RN,72100024145,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2009-08-30,2009-09-01,2009-10-01,"-5,1303497222","-37,2362975",923.0,0.0,923.0,,,0.0,2,2009,2009
7-CAM-1329-RN,72100024331,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2009-11-12,2009-11-13,2009-12-15,"-5,1337005555","-37,2349352777",787.0,0.0,787.0,,,0.0,1,2009,2009
7-CAM-1330-RN,72100024114,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2009-08-16,2009-08-17,2009-09-23,"-5,1252736111","-37,2286152777",810.0,0.0,810.0,,,0.0,1,2009,2009
7-CAM-1331-RN,72100024042,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2009-07-18,2009-07-20,2009-08-25,"-5,1286252777","-37,1942602777",767.0,0.0,767.0,,,0.0,2,2009,2009
